tier_group,n,k,level,top1_acc,top1_ci_lo,top1_ci_hi,top5_acc,top5_ci_lo,top5_ci_hi
Tier 1 only,64,1,species,0.421875,0.3125,0.546875,0.421875,0.3125,0.546875
Tier 1 only,64,1,genus,0.46875,0.358984375,0.59375,0.46875,0.358984375,0.59375
Tier 1 only,64,1,family,0.5,0.375,0.625,0.5,0.375,0.625
Tier 1 only,64,3,species,0.359375,0.25,0.46875,0.453125,0.34375,0.578125
Tier 1 only,64,3,genus,0.421875,0.3125,0.546875,0.53125,0.40625,0.65625
Tier 1 only,64,3,family,0.4375,0.3125,0.5625,0.5625,0.4375,0.6875
Tier 1 only,64,5,species,0.359375,0.234375,0.46875,0.515625,0.40625,0.625
Tier 1 only,64,5,genus,0.421875,0.3125,0.546875,0.59375,0.484375,0.703125
Tier 1 only,64,5,family,0.453125,0.328125,0.5625,0.640625,0.53125,0.75
Tier 1+2,118,1,species,0.4067796610169492,0.32203391194343567,0.5,0.4067796610169492,0.32203391194343567,0.5
Tier 1+2,118,1,genus,0.4576271186440678,0.37288135290145874,0.5508474707603455,0.4576271186440678,0.37288135290145874,0.5508474707603455
Tier 1+2,118,1,family,0.4661016949152542,0.3813559412956238,0.5593220591545105,0.4661016949152542,0.3813559412956238,0.5593220591545105
Tier 1+2,118,3,species,0.4152542372881356,0.3305084705352783,0.5,0.5677966101694916,0.47457626461982727,0.6610169410705566
Tier 1+2,118,3,genus,0.4576271186440678,0.3644067943096161,0.5508474707603455,0.6186440677966102,0.5338982939720154,0.7033898234367371
Tier 1+2,118,3,family,0.4745762711864407,0.3813559412956238,0.5762711763381958,0.6440677966101694,0.5593220591545105,0.7203390002250671
Tier 1+2,118,5,species,0.3559322033898305,0.26271185278892517,0.44915252923965454,0.6101694915254238,0.5169491767883301,0.7033898234367371
Tier 1+2,118,5,genus,0.4745762711864407,0.3813559412956238,0.5677965879440308,0.6779661016949152,0.6014830768108368,0.7627118825912476
Tier 1+2,118,5,family,0.4830508474576271,0.38983049988746643,0.5762711763381958,0.6949152542372882,0.6101694703102112,0.7711864113807678
Tier 1+2+3,210,1,species,0.34285714285714286,0.27619048953056335,0.4095238149166107,0.34285714285714286,0.27619048953056335,0.4095238149166107
Tier 1+2+3,210,1,genus,0.40476190476190477,0.3380952477455139,0.4714285731315613,0.40476190476190477,0.3380952477455139,0.4714285731315613
Tier 1+2+3,210,1,family,0.43333333333333335,0.36666667461395264,0.5047619342803955,0.43333333333333335,0.36666667461395264,0.5047619342803955
Tier 1+2+3,210,3,species,0.35714285714285715,0.29523810744285583,0.4238095283508301,0.5190476190476191,0.4523809552192688,0.585833328962326
Tier 1+2+3,210,3,genus,0.43333333333333335,0.36666667461395264,0.5,0.6,0.5333333611488342,0.6666666865348816
Tier 1+2+3,210,3,family,0.4714285714285714,0.4047619104385376,0.538095235824585,0.6333333333333333,0.5714285969734192,0.6952381134033203
Tier 1+2+3,210,5,species,0.3523809523809524,0.2857142984867096,0.4238095283508301,0.5904761904761905,0.523809552192688,0.657261924445629
Tier 1+2+3,210,5,genus,0.44761904761904764,0.380952388048172,0.5190476179122925,0.6761904761904762,0.6142857074737549,0.738095223903656
Tier 1+2+3,210,5,family,0.48095238095238096,0.4095238149166107,0.5476190447807312,0.7142857142857143,0.6523809432983398,0.7715476319193839
